,doc9.txt,doc8.txt,doc10.txt,doc6.txt,doc7.txt,doc5.txt,doc4.txt,doc1.txt,doc3.txt,doc2.txt
may,0,1,0,0,0,0,1,0,0,0
influence,0,1,0,0,0,0,0,0,0,0
significantly,0,1,0,0,0,0,0,0,0,0
performances,0,1,0,0,0,0,0,0,0,0
devices,0,1,0,0,0,0,0,0,0,0
phenomena,0,1,0,0,0,0,0,0,0,0
cited,0,1,0,0,0,0,0,0,0,0
above,0,1,0,0,0,0,0,0,0,0
occur,0,1,0,0,0,0,0,0,0,0
a,1,1,1,1,1,1,1,1,1,1
theoretical,0,1,0,0,1,0,0,1,0,0
and,1,1,1,1,1,1,1,1,1,1
experimental,1,1,0,0,0,0,0,1,0,0
program,0,1,0,0,0,0,0,0,0,0
research,1,1,0,0,0,0,0,0,0,0
to,1,1,1,1,0,1,1,1,1,1
study,0,1,0,0,0,1,0,1,0,1
gradients,0,1,0,0,0,0,0,0,0,0
is,1,1,1,1,1,1,1,0,1,1
being,0,1,0,1,0,0,0,0,0,1
carried,0,1,0,0,0,0,0,0,0,0
at,0,1,1,1,0,1,1,1,1,0
polytechnic,0,1,0,0,0,0,0,0,0,0
institute,0,1,0,0,0,0,1,0,0,0
brooklyn,0,1,0,0,0,0,0,0,0,0
it,0,0,1,1,1,1,0,0,1,1
will,0,0,1,0,0,0,0,0,0,0
be,0,0,1,1,0,1,0,0,0,1
shown,0,0,1,0,1,0,0,0,0,1
that,0,0,1,1,1,1,1,1,1,1
the,1,1,1,1,1,1,1,1,1,1
differential,0,0,1,0,0,0,0,0,0,0
equations,0,0,1,0,0,0,0,0,0,0
for,0,0,1,1,1,0,0,1,1,1
a,1,1,1,1,1,1,1,1,1,1
heated,0,0,1,0,0,0,0,0,0,0
plate,0,0,1,1,0,1,0,0,0,1
with,1,1,1,1,0,0,1,1,1,0
large,0,0,1,0,0,0,0,0,0,0
temperature,0,0,1,0,0,0,0,0,1,0
gradient,0,1,1,0,0,0,0,0,0,0
and,1,1,1,1,1,1,1,1,1,1
similar,0,0,1,0,0,0,0,0,0,0
at,0,1,1,1,0,1,1,1,1,0
constant,0,0,1,1,0,0,0,0,0,1
can,0,0,1,0,0,0,0,0,0,1
made,0,0,1,1,1,0,0,1,0,0
same,0,0,1,0,0,1,0,0,0,0
by,0,0,1,1,0,0,1,1,1,1
proper,0,0,1,0,0,0,0,0,0,0
modification,0,0,1,0,0,0,0,0,0,0
of,1,1,1,1,1,1,1,1,1,1
thickness,0,0,1,0,0,1,0,0,0,0
loading,0,0,1,0,0,0,0,1,0,0
isothermal,0,0,1,0,0,0,0,0,0,0
.,1,1,1,1,1,1,1,1,1,1
this,0,0,1,1,0,0,0,1,1,1
fact,0,0,1,0,0,0,0,0,0,0
leads,0,0,1,0,0,0,0,0,0,0
to,1,1,1,1,0,1,1,1,1,1
result,0,0,1,0,0,0,0,0,0,0
stresses,0,0,1,0,0,0,0,0,0,0
in,1,1,1,1,0,1,1,1,1,1
calculated,0,0,1,0,0,0,0,0,0,0
from,1,0,1,0,1,1,1,0,0,1
measured,0,0,1,0,0,0,0,0,0,0
strains,0,0,1,0,0,0,0,0,0,0
on,0,1,1,1,0,1,1,0,0,0
unheated,0,0,1,0,0,0,0,0,0,0
series,0,0,1,0,0,0,0,0,0,0
"relations,",0,0,1,0,0,0,0,0,0,0
called,0,0,1,0,0,0,0,0,0,0
/similarity,0,0,1,0,0,0,0,0,0,0
laws,0,0,1,0,0,0,0,0,0,0
./,0,0,1,0,0,0,0,0,0,0
application,0,0,1,0,0,0,0,0,0,0
analog,0,0,1,0,0,0,0,0,0,0
theory,0,0,1,0,0,0,0,1,0,0
solid,0,0,1,0,0,0,0,0,0,0
wings,0,0,1,0,0,0,0,0,0,0
under,1,0,1,0,0,0,0,0,0,0
aerodynamic,0,0,1,0,0,0,0,0,0,0
heating,0,0,1,0,0,0,0,0,0,0
is,1,1,1,1,1,1,1,0,1,1
discussed,1,0,1,0,0,0,0,0,0,1
detail,0,0,1,0,0,0,0,0,0,0
wing,0,0,1,0,0,0,0,1,0,0
"is,",0,0,1,0,0,0,0,0,0,0
"however,",0,0,1,0,0,0,0,0,0,0
complicated,0,0,1,0,0,0,0,0,0,0
involves,0,0,1,0,0,0,0,0,0,0
novel,0,0,1,0,0,0,0,0,0,1
concept,0,0,1,0,0,0,0,0,0,0
feedback,0,0,1,0,0,0,0,0,0,0
/body,0,0,1,0,0,0,0,0,0,0
force/,0,0,1,0,0,0,0,0,0,0
problem,0,0,1,0,0,0,0,1,0,1
stressing,0,0,1,0,0,0,0,0,0,0
box-wing,0,0,1,0,0,0,0,0,0,0
structure,0,0,1,0,0,0,0,0,0,0
solved,0,0,1,0,0,0,0,0,0,0
method,0,0,1,0,0,0,0,0,1,0
briefly,0,0,1,0,0,0,0,0,1,0
an,0,1,0,1,1,1,0,1,0,1
investigation,0,0,0,1,0,1,0,0,0,0
of,1,1,1,1,1,1,1,1,1,1
transition,0,0,0,1,0,1,1,0,0,0
and,1,1,1,1,1,1,1,1,1,1
skin,0,0,0,1,0,0,0,0,0,0
friction,0,0,0,1,0,0,0,0,0,0
on,0,1,1,1,0,1,1,0,0,0
insulated,0,0,0,1,0,0,0,0,1,0
flat,0,0,0,1,0,1,0,0,0,1
"plate,",0,0,0,1,0,0,0,0,0,0
5,0,0,0,1,0,0,0,0,0,0
by,0,0,1,1,0,0,1,1,1,1
26,0,0,0,1,0,0,0,0,0,0
"in.,",0,0,0,1,0,0,0,0,0,0
was,0,0,0,1,0,0,0,1,0,0
made,0,0,1,1,1,0,0,1,0,0
in,1,1,1,1,0,1,1,1,1,1
the,1,1,1,1,1,1,1,1,1,1
galcit,0,0,0,1,0,0,0,0,0,0
in.,0,0,0,1,0,0,0,0,0,0
hypersonic,0,0,0,1,0,0,0,0,0,1
wind,0,0,0,1,0,0,1,0,0,0
tunnel,0,0,0,1,0,0,1,0,0,0
at,0,1,1,1,0,1,1,1,1,0
a,1,1,1,1,1,1,1,1,1,1
nominal,0,0,0,1,0,0,0,0,0,0
mach,0,0,0,1,1,0,1,0,0,0
number,0,0,0,1,1,1,1,0,0,0
5.8,0,0,0,1,0,0,0,0,0,0
.,1,1,1,1,1,1,1,1,1,1
phosphorescent,0,0,0,1,0,0,0,0,0,0
lacquer,0,0,0,1,0,0,0,0,0,0
technique,0,0,0,1,0,0,0,0,0,0
used,0,0,0,1,0,0,0,0,0,0
for,0,0,1,1,1,0,0,1,1,1
detection,0,0,0,1,0,0,0,0,0,0
found,0,0,0,1,0,0,0,1,0,0
to,1,1,1,1,0,1,1,1,1,1
be,0,0,1,1,0,1,0,0,0,1
good,0,0,0,1,0,0,0,0,0,0
agreement,0,0,0,1,0,0,0,0,0,0
with,1,1,1,1,0,0,1,1,1,0
total-head,0,0,0,1,0,0,0,0,0,0
rake,0,0,0,1,0,0,0,0,0,0
measurements,0,0,0,1,0,0,0,0,0,0
along,0,0,0,1,0,0,0,0,0,0
plate,0,0,1,1,0,1,0,0,0,1
surface,0,0,0,1,0,0,0,0,0,0
pitot,0,0,0,1,0,0,0,0,0,0
boundary-,0,0,0,1,0,0,0,0,0,0
layer,1,0,0,1,0,0,1,0,1,1
surveys,0,0,0,1,0,0,0,0,0,0
it,0,0,1,1,1,1,0,0,1,1
that,0,0,1,1,1,1,1,1,1,1
boundary,1,0,0,1,0,0,1,0,0,1
laminar,0,0,0,1,0,0,1,0,0,0
reynolds,0,0,0,1,0,1,1,0,0,0
numbers,0,0,0,1,0,0,1,0,0,0
least,0,0,0,1,0,0,0,0,0,0
x,0,0,0,1,0,0,1,0,0,0
10,0,0,0,1,0,0,0,0,0,0
transverse,0,0,0,1,0,0,0,0,0,0
contamination,0,0,0,1,0,0,0,0,0,0
caused,0,0,0,1,0,0,0,0,0,0
turbulent,0,0,0,1,0,0,1,0,0,0
sidewall,0,0,0,1,0,0,0,0,0,0
originated,0,0,0,1,0,0,0,0,0,0
far,0,0,0,1,0,0,0,0,0,0
downstream,0,0,0,1,0,0,0,0,0,0
leading,0,0,0,1,0,1,0,0,0,1
edge,0,0,0,1,0,0,1,0,0,1
1.5,0,0,0,1,0,0,0,0,0,0
2,0,0,0,1,0,0,0,0,0,0
"10,",0,0,0,1,0,0,0,0,0,0
spread,0,0,0,1,0,0,0,0,0,0
uniform,0,0,0,1,0,0,0,0,0,0
angle,0,0,0,1,0,0,0,0,0,0
compared,0,0,0,1,0,0,0,0,0,0
9,0,0,0,1,0,0,0,0,0,0
degree,0,0,0,1,0,0,0,0,0,0
low-speed,0,0,0,1,0,0,0,0,0,0
flow,0,0,0,1,0,0,1,1,0,1
effect,0,1,0,1,0,1,1,1,0,0
two-dimensional,0,0,0,1,0,1,0,0,0,1
local,0,0,0,1,0,0,1,0,0,0
disturbances,0,0,0,1,0,0,0,0,0,0
investigated,0,0,0,1,0,0,0,0,0,1
air,0,0,0,1,0,0,0,0,0,0
injection,0,0,0,1,0,0,0,0,0,0
into,1,0,0,1,0,0,0,0,0,0
as,1,0,0,1,0,1,1,1,0,1
means,0,0,0,1,0,0,0,0,0,0
hastening,0,0,0,1,0,0,0,0,0,0
extensively,0,0,0,1,0,0,0,0,0,0
although,0,0,0,1,0,0,0,0,0,0
onset,0,0,0,1,0,0,0,0,0,0
occurred,0,0,0,1,0,0,0,0,0,0
low,0,0,0,1,1,0,0,0,0,0
fully,0,0,0,1,0,0,0,0,0,0
developed,0,0,0,1,0,0,0,0,0,0
not,0,0,0,1,0,0,0,0,0,0
obtained,0,0,0,1,0,0,0,0,1,0
much,0,0,0,1,0,0,0,0,0,0
below,0,0,0,1,0,0,0,0,0,0
regardless,0,0,0,1,0,0,0,0,0,0
amount,0,0,0,1,0,0,0,0,0,0
injected,0,0,0,1,0,0,0,0,0,0
qualitative,0,0,0,1,0,0,0,0,0,0
discussion,1,0,0,1,0,0,0,0,0,1
these,1,1,0,1,0,0,0,0,0,0
results,0,0,0,1,1,1,1,1,0,0
is,1,1,1,1,1,1,1,0,1,1
given,0,0,0,1,0,0,0,0,1,0
emphasis,0,0,0,1,0,0,0,0,0,0
possibility,0,0,0,1,0,0,0,0,0,0
greater,0,0,0,1,0,0,0,0,0,0
stability,0,0,0,1,0,0,0,0,0,0
than,0,0,0,1,0,0,0,0,1,0
lower,0,0,0,1,0,0,0,0,0,0
speeds,0,0,0,1,0,0,0,0,0,0
direct,0,0,0,1,0,0,0,0,0,0
skin-friction,0,0,0,1,0,0,0,0,0,0
were,0,0,0,1,0,1,1,1,1,0
floating,0,0,0,1,0,0,0,0,0,0
element,0,0,0,1,0,1,1,0,0,0
"technique,",0,0,0,1,0,0,0,0,0,0
over,0,0,0,1,0,0,0,0,0,0
range,0,0,0,1,0,1,0,0,0,0
verified,0,0,0,1,0,0,0,0,0,0
being,0,1,0,1,0,0,0,0,0,1
complete,0,0,0,1,0,0,0,0,0,0
"injection,",0,0,0,1,0,0,0,0,0,0
shear,0,0,0,1,0,0,0,0,0,1
only,0,0,0,1,0,0,0,0,0,1
this,0,0,1,1,0,0,0,1,1,1
value,0,0,0,1,0,0,0,0,0,0
earlier,0,0,0,1,0,0,0,0,0,0
coefficient,0,0,0,1,0,0,0,0,0,0
approximately,0,0,0,1,0,0,0,0,0,0
0.40,0,0,0,1,0,0,0,0,0,0
incompressible,0,0,0,1,0,0,0,0,0,1
constant,0,0,1,1,0,0,0,0,0,1
"r,",0,0,0,1,0,0,0,0,0,0
0.46,0,0,0,1,0,0,0,0,0,0
effective,0,0,0,1,0,0,0,0,0,0
between,0,1,0,1,1,1,0,0,0,1
6,0,0,0,1,0,0,0,0,0,0
a,1,1,1,1,1,1,1,1,1,1
theoretical,0,1,0,0,1,0,0,1,0,0
analysis,0,0,0,0,1,0,0,0,0,0
has,0,0,0,0,1,0,1,0,0,1
been,0,0,0,0,1,0,0,0,0,1
made,0,0,1,1,1,0,0,1,0,0
for,0,0,1,1,1,0,0,1,1,1
an,0,1,0,1,1,1,0,1,0,1
impact,0,0,0,0,1,0,0,0,0,0
tube,0,0,0,0,1,0,0,0,0,0
of,1,1,1,1,1,1,1,1,1,1
the,1,1,1,1,1,1,1,1,1,1
relation,0,0,0,0,1,1,0,0,0,0
between,0,1,0,1,1,1,0,0,0,1
free-stream,0,0,0,0,1,0,0,0,0,0
mach,0,0,0,1,1,0,1,0,0,0
number,0,0,0,1,1,1,1,0,0,0
and,1,1,1,1,1,1,1,1,1,1
pressures,0,1,0,0,1,0,0,0,0,0
densities,0,0,0,0,1,0,0,0,0,0
extremely,0,0,0,0,1,0,0,0,0,0
low,0,0,0,1,1,0,0,0,0,0
.,1,1,1,1,1,1,1,1,1,1
it,0,0,1,1,1,1,0,0,1,1
is,1,1,1,1,1,1,1,0,1,1
shown,0,0,1,0,1,0,0,0,0,1
that,0,0,1,1,1,1,1,1,1,1
results,0,0,0,1,1,1,1,1,0,0
differ,0,0,0,0,1,0,0,0,0,0
appreciably,0,0,0,0,1,0,0,0,0,0
from,1,0,1,0,1,1,1,0,0,1
corresponding,0,0,0,0,1,0,0,0,0,0
continuum,0,0,0,0,1,0,0,0,0,0
relations,0,0,0,0,1,0,0,0,0,0
in,1,1,1,1,0,1,1,1,1,1
his,0,0,0,0,0,1,0,0,1,0
study,0,1,0,0,0,1,0,1,0,1
of,1,1,1,1,1,1,1,1,1,1
the,1,1,1,1,1,1,1,1,1,1
effect,0,1,0,1,0,1,1,1,0,0
roughness,0,0,0,0,0,1,1,0,0,0
on,0,1,1,1,0,1,1,0,0,0
"transition,",0,0,0,0,0,1,0,0,0,0
h.,0,0,0,0,0,1,0,0,0,0
l.,0,0,0,0,0,1,0,0,0,0
dryden,0,0,0,0,0,1,0,0,0,0
"found,",0,0,0,0,0,1,0,0,0,0
basis,0,0,0,0,0,1,0,1,0,0
available,1,0,0,0,0,1,0,0,0,0
"data,",0,0,0,0,0,1,0,0,0,0
that,0,0,1,1,1,1,1,1,1,1
a,1,1,1,1,1,1,1,1,1,1
two-dimensional,0,0,0,1,0,1,0,0,0,1
element,0,0,0,1,0,1,1,0,0,0
such,0,0,0,0,0,1,1,0,0,1
as,1,0,0,1,0,1,1,1,0,1
/trip,0,0,0,0,0,1,0,0,0,0
wire/,0,0,0,0,0,1,0,0,0,0
could,0,0,0,0,0,1,0,0,0,0
be,0,0,1,1,0,1,0,0,0,1
represented,0,0,0,0,0,1,0,0,0,0
reasonably,0,0,0,0,0,1,0,0,0,0
well,1,0,0,0,0,1,0,1,0,0
terms,0,0,0,0,0,1,0,0,0,0
functional,0,0,0,0,0,1,0,0,0,0
relation,0,0,0,0,1,1,0,0,0,0
between,0,1,0,1,1,1,0,0,0,1
"and,",0,1,0,0,0,1,0,0,0,0
where,0,0,0,0,0,1,1,0,0,0
is,1,1,1,1,1,1,1,0,1,1
reynolds,0,0,0,1,0,1,1,0,0,0
number,0,0,0,1,1,1,1,0,0,0
transition,0,0,0,1,0,1,1,0,0,0
based,0,0,0,0,0,1,0,0,0,0
distance,0,0,0,0,0,1,0,0,0,0
from,1,0,1,0,1,1,1,0,0,1
leading,0,0,0,1,0,1,0,0,0,1
"edge,",0,0,0,0,0,1,0,0,0,0
height,0,0,0,0,0,1,1,0,0,0
"element,",0,0,0,0,0,1,0,0,0,0
and,1,1,1,1,1,1,1,1,1,1
boundary-layer,0,0,0,0,0,1,1,0,0,1
displacement,0,0,0,0,0,1,0,0,0,0
thickness,0,0,1,0,0,1,0,0,0,0
at,0,1,1,1,0,1,1,1,1,0
position,0,0,0,0,0,1,1,0,0,0
.,1,1,1,1,1,1,1,1,1,1
suggestion,0,0,0,0,0,1,0,0,0,0
some,1,0,0,0,0,1,0,0,0,0
additional,0,0,0,0,0,1,0,0,0,0
data,0,0,0,0,0,1,0,0,0,0
were,0,0,0,1,0,1,1,1,1,0
"obtained,",0,0,0,0,0,1,0,0,0,0
primarily,0,0,0,0,0,1,0,0,0,0
to,1,1,1,1,0,1,1,1,1,1
extend,0,0,0,0,0,1,0,0,0,0
range,0,0,0,1,0,1,0,0,0,0
higher,0,0,0,0,0,1,0,0,0,0
values,0,0,0,0,0,1,0,0,0,0
"of,",0,0,0,0,0,1,0,0,0,0
during,0,0,0,0,0,1,0,0,0,0
course,0,0,0,0,0,1,0,0,0,0
an,0,1,0,1,1,1,0,1,0,1
investigation,0,0,0,1,0,1,0,0,0,0
flat,0,0,0,1,0,1,0,0,0,1
plate,0,0,1,1,0,1,0,0,0,1
conducted,0,0,0,0,0,1,0,0,0,0
national,0,0,0,0,0,1,0,0,0,0
bureau,0,0,0,0,0,1,0,0,0,0
standards,0,0,0,0,0,1,0,0,0,0
after,0,0,0,0,0,1,1,1,0,0
results,0,0,0,1,1,1,1,1,0,0
two-,0,0,0,0,0,1,0,0,0,0
dimensional,0,0,0,0,0,1,0,0,0,0
elements,0,0,0,0,0,1,1,0,0,0
it,0,0,1,1,1,1,0,0,1,1
appeared,0,0,0,0,0,1,0,0,0,0
desirable,0,0,0,0,0,1,0,0,0,0
see,0,0,0,0,0,1,0,0,0,0
whether,0,0,0,0,0,1,0,0,0,0
row,0,0,0,0,0,1,1,0,0,0
three-dimensional,0,0,0,0,0,1,1,0,0,0
would,0,0,0,0,0,1,0,0,0,0
behave,0,0,0,0,0,1,0,0,0,0
same,0,0,1,0,0,1,0,0,0,0
way,0,0,0,0,0,1,0,0,0,0
experiments,0,0,0,0,0,0,1,0,0,0
were,0,0,0,1,0,1,1,1,1,0
performed,0,0,0,0,0,0,1,0,0,0
in,1,1,1,1,0,1,1,1,1,1
the,1,1,1,1,1,1,1,1,1,1
12-in.,0,0,0,0,0,0,1,0,0,0
supersonic,0,1,0,0,0,0,1,0,0,0
wind,0,0,0,1,0,0,1,0,0,0
tunnel,0,0,0,1,0,0,1,0,0,0
of,1,1,1,1,1,1,1,1,1,1
jet,0,0,0,0,0,0,1,0,0,0
propulsion,0,0,0,0,0,0,1,0,0,0
laboratory,0,0,0,0,0,0,1,0,0,0
california,0,0,0,0,0,0,1,0,0,0
institute,0,1,0,0,0,0,1,0,0,0
technology,0,0,0,0,0,0,1,0,0,0
to,1,1,1,1,0,1,1,1,1,1
investigate,0,0,0,0,0,0,1,0,0,0
effect,0,1,0,1,0,1,1,1,0,0
three-dimensional,0,0,0,0,0,1,1,0,0,0
roughness,0,0,0,0,0,1,1,0,0,0
elements,0,0,0,0,0,1,1,0,0,0
(spheres),0,0,0,0,0,0,1,0,0,0
on,0,1,1,1,0,1,1,0,0,0
boundary-layer,0,0,0,0,0,1,1,0,0,1
transition,0,0,0,1,0,1,1,0,0,0
a,1,1,1,1,1,1,1,1,1,1
tained,0,0,0,0,0,0,1,0,0,0
at,0,1,1,1,0,1,1,1,1,0
local,0,0,0,1,0,0,1,0,0,0
mach,0,0,0,1,1,0,1,0,0,0
numbers,0,0,0,1,0,0,1,0,0,0
"1.90,",0,0,0,0,0,0,1,0,0,0
"2.71,",0,0,0,0,0,0,1,0,0,0
and,1,1,1,1,1,1,1,1,1,1
3.67,0,0,0,0,0,0,1,0,0,0
by,0,0,1,1,0,0,1,1,1,1
varying,0,0,0,0,0,0,1,0,0,0
trip,0,0,0,0,0,0,1,0,0,0
"size,",0,0,0,0,0,0,1,0,0,0
"position,",0,0,0,0,0,0,1,0,0,0
"spacing,",0,0,0,0,0,0,1,0,0,0
reynolds,0,0,0,1,0,1,1,0,0,0
number,0,0,0,1,1,1,1,0,0,0
per,0,0,0,0,0,0,1,0,0,0
inch,0,0,0,0,0,0,1,0,0,0
.,1,1,1,1,1,1,1,1,1,1
results,0,0,0,1,1,1,1,1,0,0
indicate,0,0,0,0,0,0,1,0,1,0
that,0,0,1,1,1,1,1,1,1,1
(1),0,0,0,0,0,0,1,0,0,0
from,1,0,1,0,1,1,1,0,0,1
laminar,0,0,0,1,0,0,1,0,0,0
turbulent,0,0,0,1,0,0,1,0,0,0
flow,0,0,0,1,0,0,1,1,0,1
induced,0,0,0,0,0,0,1,0,0,0
begins,0,0,0,0,0,0,1,0,0,0
when,0,0,0,0,0,0,1,0,0,0
double,0,0,0,0,0,0,1,0,1,0
row,0,0,0,0,0,1,1,0,0,0
spiral,0,0,0,0,0,0,1,0,0,0
vortices,0,0,0,0,0,0,1,0,0,0
trailing,0,0,0,0,0,0,1,0,0,0
each,0,0,0,0,0,0,1,0,0,0
element,0,0,0,1,0,1,1,0,0,0
contaminates,0,0,0,0,0,0,1,0,0,0
breaks,0,0,0,0,0,0,1,0,0,0
down,0,0,0,0,0,0,1,0,0,0
surrounding,0,0,0,0,0,0,1,0,0,0
field,0,0,0,0,0,0,1,0,0,0
"vorticity,",0,0,0,0,0,0,1,0,0,0
(2),0,0,0,0,0,0,1,0,0,0
appears,0,0,0,0,0,0,1,0,0,0
rather,0,0,0,0,0,0,1,0,0,0
"suddenly,",0,0,0,0,0,0,1,0,0,0
becoming,0,0,0,0,0,0,1,0,0,0
more,0,0,0,0,0,0,1,0,0,0
violent,0,0,0,0,0,0,1,0,0,0
with,1,1,1,1,0,0,1,1,1,0
increasing,0,0,0,0,0,0,1,0,0,0
height,0,0,0,0,0,1,1,0,0,0
relative,0,0,0,0,0,0,1,0,0,0
"thickness,",0,0,0,0,0,0,1,0,0,0
(3),0,0,0,0,0,0,1,0,0,0
after,0,0,0,0,0,1,1,1,0,0
breakdown,0,0,0,0,0,0,1,0,0,0
vorticity,0,0,0,0,0,0,1,0,0,1
"field,",0,0,0,0,0,0,1,0,0,0
strength,0,0,0,0,0,0,1,0,0,0
may,0,1,0,0,0,0,1,0,0,0
still,0,0,0,0,0,0,1,0,0,0
persist,0,0,0,0,0,0,1,0,0,0
sublayer,0,0,0,0,0,0,1,0,0,0
ensuing,0,0,0,0,0,0,1,0,0,0
"flow,",0,0,0,0,0,0,1,0,0,0
(4),0,0,0,0,0,0,1,0,0,0
lateral,0,0,0,0,0,0,1,0,0,0
spacing,0,0,0,0,0,0,1,0,0,0
has,0,0,0,0,1,0,1,0,0,1
little,0,0,0,0,0,0,1,0,0,0
upon,1,0,0,0,0,0,1,0,0,0
initial,0,0,0,0,0,0,1,0,0,0
(contamination),0,0,0,0,0,0,1,0,0,0
(5),0,0,0,0,0,0,1,0,0,0
where,0,0,0,0,0,1,1,0,0,0
u,0,0,0,0,0,0,1,0,0,0
v,0,0,0,0,0,0,1,0,0,0
